"repo_path","original_path","original_filename","repo_filename","file_type","description","related_manuscript_section","related_figure_or_table","public_release_status","copied_status","notes"
"example_data/example_markdown_outputs/gemini/formulation_optimization/optimization_of_methylene_blue_sustained-release_tablets.docx","E:\桌面\办公\符\论文\药学大模型推进\处方优化\Gemini\Optimization_of_Methylene_Blue_Sustained-Release_Tablets.docx","Optimization_of_Methylene_Blue_Sustained-Release_Tablets.docx","optimization_of_methylene_blue_sustained-release_tablets.docx","word_report","Formulation-optimization conversation data from Gemini.","MYGO-guided formulation optimization and validation","Example conversation outputs / supplementary material","public_copied_from_user_approved_increment","copied","Added from formulation-optimization conversation-data folder; source file preserved. Gemini formulation_optimization formulation-optimization report/output."
"example_data/example_markdown_outputs/skills/gliclazide/gliclazide_formulation_disintegration_analysis.doc","E:\桌面\办公\符\论文\药学大模型推进\处方优化\skills\Gliclazide Formulation Disintegration Analysis.doc","Gliclazide Formulation Disintegration Analysis.doc","gliclazide_formulation_disintegration_analysis.doc","word_report","Skill-assisted formulation-optimization conversation/report export.","MYGO-guided formulation optimization and validation","Example skill conversation outputs / supplementary material","public_copied_user_increment_large_review","copied","Added from formulation-optimization skills conversation/report folder; source file preserved. Large Word report (>10 MB); keep only after manual upload-size/content review. Repository filename differs from original for stable English/ASCII naming."
"example_data/example_markdown_outputs/skills/gliclazide/gliclazide_hpmc_disintegration_analysis_and_optimization.doc","E:\桌面\办公\符\论文\药学大模型推进\处方优化\skills\Gliclazide HPMC Disintegration Analysis and Optimization.doc","Gliclazide HPMC Disintegration Analysis and Optimization.doc","gliclazide_hpmc_disintegration_analysis_and_optimization.doc","word_report","Skill-assisted formulation-optimization conversation/report export.","MYGO-guided formulation optimization and validation","Example skill conversation outputs / supplementary material","public_copied_user_increment_large_review","copied","Added from formulation-optimization skills conversation/report folder; source file preserved. Large Word report (>10 MB); keep only after manual upload-size/content review. Repository filename differs from original for stable English/ASCII naming."
"example_data/example_markdown_outputs/skills/gliclazide/gliclazide_hpmc_ratio_disintegration_and_release_analysis.doc","E:\桌面\办公\符\论文\药学大模型推进\处方优化\skills\Gliclazide_HPMC_Ratio_Disintegration_and_Release_Analysis.doc","Gliclazide_HPMC_Ratio_Disintegration_and_Release_Analysis.doc","gliclazide_hpmc_ratio_disintegration_and_release_analysis.doc","word_report","Skill-assisted formulation-optimization conversation/report export.","MYGO-guided formulation optimization and validation","Example skill conversation outputs / supplementary material","public_copied_from_user_approved_increment","copied","Added from formulation-optimization skills conversation/report folder; source file preserved."
"example_data/example_markdown_outputs/skills/methylene_blue/methylene_blue_sustained_release_tablet_disintegration_analysis.doc","E:\桌面\办公\符\论文\药学大模型推进\处方优化\skills\Methylene_Blue_Sustained_Release_Tablet_Disintegration_Analysis.doc","Methylene_Blue_Sustained_Release_Tablet_Disintegration_Analysis.doc","methylene_blue_sustained_release_tablet_disintegration_analysis.doc","word_report","Skill-assisted formulation-optimization conversation/report export.","MYGO-guided formulation optimization and validation","Example skill conversation outputs / supplementary material","public_copied_user_increment_large_review","copied","Added from formulation-optimization skills conversation/report folder; source file preserved. Large Word report (>10 MB); keep only after manual upload-size/content review."
"example_data/example_markdown_outputs/skills/methylene_blue/methylene_blue_sustained-release_tablet_disintegration_analysis.doc","E:\桌面\办公\符\论文\药学大模型推进\处方优化\skills\Methylene Blue Sustained-Release Tablet Disintegration Analysis.doc","Methylene Blue Sustained-Release Tablet Disintegration Analysis.doc","methylene_blue_sustained-release_tablet_disintegration_analysis.doc","word_report","Skill-assisted formulation-optimization conversation/report export.","MYGO-guided formulation optimization and validation","Example skill conversation outputs / supplementary material","public_copied_from_user_approved_increment","copied","Added from formulation-optimization skills conversation/report folder; source file preserved. Repository filename differs from original for stable English/ASCII naming."
"example_data/example_markdown_outputs/skills/methylene_blue/methylene_blue_sustained-release_tablet_disintegration_analysis_and_optimization.doc","E:\桌面\办公\符\论文\药学大模型推进\处方优化\skills\Methylene Blue Sustained-Release Tablet Disintegration Analysis and Optimization.doc","Methylene Blue Sustained-Release Tablet Disintegration Analysis and Optimization.doc","methylene_blue_sustained-release_tablet_disintegration_analysis_and_optimization.doc","word_report","Skill-assisted formulation-optimization conversation/report export.","MYGO-guided formulation optimization and validation","Example skill conversation outputs / supplementary material","public_copied_user_increment_large_review","copied","Added from formulation-optimization skills conversation/report folder; source file preserved. Large Word report (>10 MB); keep only after manual upload-size/content review. Repository filename differs from original for stable English/ASCII naming."
"example_data/README.md","","","README.md","text_document","Generated repository metadata or directory README.","Repository documentation and reproducibility","","public_generated","generated","Created during Phase 2 staging; not copied from source project files."
"knowledge_base/markdown_conversion_workflow.md","","","markdown_conversion_workflow.md","text_document","Generated repository-safe Markdown conversion workflow note.","Workflow and skill-assisted language-model methods","","public_generated","generated","Created after removing copied full-text/converted Markdown artifacts from staging."
"knowledge_base/markdown_conversion_workflow.md","D:\data\markdown\DeepSeek-OCR-vllm\.ipynb_checkpoints\config-checkpoint.py","config-checkpoint.py","markdown_conversion_workflow.md","script","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","not_copied_removed_from_staging","skipped_cache_review_removed_from_staging","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming.  Removed from staging after Phase 2 safety review: notebook checkpoint/cache file. Source file preserved."
"knowledge_base/markdown_conversion_workflow_10.md","D:\data\markdown\DeepSeek-OCR-vllm\process\ngram_norepeat.py","ngram_norepeat.py","markdown_conversion_workflow_10.md","script","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","public_copied_from_reviewed_inventory","copied","Target filename collision; copied as markdown_conversion_workflow_10.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. "
"knowledge_base/markdown_conversion_workflow_11.md","D:\data\markdown\DeepSeek-OCR-vllm\run_dpsk_ocr_image.py","run_dpsk_ocr_image.py","markdown_conversion_workflow_11.md","script","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","public_copied_from_reviewed_inventory","copied","Target filename collision; copied as markdown_conversion_workflow_11.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. "
"knowledge_base/markdown_conversion_workflow_12.md","D:\data\markdown\DeepSeek-OCR-vllm\run_dpsk_ocr_pdf.py","run_dpsk_ocr_pdf.py","markdown_conversion_workflow_12.md","script","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","public_copied_from_reviewed_inventory","copied","Target filename collision; copied as markdown_conversion_workflow_12.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. "
"knowledge_base/markdown_conversion_workflow_13.md","D:\data\markdown_sanitized\volume-001.md","volume-001.md","markdown_conversion_workflow_13.md","text_document","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","not_copied_removed_from_staging","skipped_copyright_review_removed_from_staging","Target filename collision; copied as markdown_conversion_workflow_13.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming.  Removed from staging after Phase 2 safety review: converted long-form Markdown volume is not appropriate for public repository upload. Source file preserved."
"knowledge_base/markdown_conversion_workflow_14.md","D:\data\markdown_sanitized\volume-002.md","volume-002.md","markdown_conversion_workflow_14.md","text_document","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","not_copied_removed_from_staging","skipped_copyright_review_removed_from_staging","Target filename collision; copied as markdown_conversion_workflow_14.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming.  Removed from staging after Phase 2 safety review: converted long-form Markdown volume is not appropriate for public repository upload. Source file preserved."
"knowledge_base/markdown_conversion_workflow_15.md","D:\data\markdown_sanitized\volume-003.md","volume-003.md","markdown_conversion_workflow_15.md","text_document","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","not_copied_removed_from_staging","skipped_copyright_review_removed_from_staging","Target filename collision; copied as markdown_conversion_workflow_15.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming.  Removed from staging after Phase 2 safety review: converted long-form Markdown volume is not appropriate for public repository upload. Source file preserved."
"knowledge_base/markdown_conversion_workflow_16.md","D:\data\markdown_sanitized\volume-004.md","volume-004.md","markdown_conversion_workflow_16.md","text_document","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","not_copied_removed_from_staging","skipped_copyright_review_removed_from_staging","Target filename collision; copied as markdown_conversion_workflow_16.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming.  Removed from staging after Phase 2 safety review: converted long-form Markdown volume is not appropriate for public repository upload. Source file preserved."
"knowledge_base/markdown_conversion_workflow_17.md","D:\data\markdown_sanitized\volume-005.md","volume-005.md","markdown_conversion_workflow_17.md","text_document","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","not_copied_removed_from_staging","skipped_copyright_review_removed_from_staging","Target filename collision; copied as markdown_conversion_workflow_17.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming.  Removed from staging after Phase 2 safety review: converted long-form Markdown volume is not appropriate for public repository upload. Source file preserved."
"knowledge_base/markdown_conversion_workflow_18.md","D:\data\markdown_sanitized\volume-006.md","volume-006.md","markdown_conversion_workflow_18.md","text_document","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","not_copied_removed_from_staging","skipped_copyright_review_removed_from_staging","Target filename collision; copied as markdown_conversion_workflow_18.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming.  Removed from staging after Phase 2 safety review: converted long-form Markdown volume is not appropriate for public repository upload. Source file preserved."
"knowledge_base/markdown_conversion_workflow_19.md","D:\data\markdown_sanitized\volume-007.md","volume-007.md","markdown_conversion_workflow_19.md","text_document","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","not_copied_removed_from_staging","skipped_copyright_review_removed_from_staging","Target filename collision; copied as markdown_conversion_workflow_19.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming.  Removed from staging after Phase 2 safety review: converted long-form Markdown volume is not appropriate for public repository upload. Source file preserved."
"knowledge_base/markdown_conversion_workflow_2.md","D:\data\markdown\DeepSeek-OCR-vllm\.ipynb_checkpoints\run_dpsk_ocr_image-checkpoint.py","run_dpsk_ocr_image-checkpoint.py","markdown_conversion_workflow_2.md","script","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","not_copied_removed_from_staging","skipped_cache_review_removed_from_staging","Target filename collision; copied as markdown_conversion_workflow_2.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming.  Removed from staging after Phase 2 safety review: notebook checkpoint/cache file. Source file preserved."
"knowledge_base/markdown_conversion_workflow_20.md","D:\data\markdown_sanitized\volume-008.md","volume-008.md","markdown_conversion_workflow_20.md","text_document","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","not_copied_removed_from_staging","skipped_copyright_review_removed_from_staging","Target filename collision; copied as markdown_conversion_workflow_20.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming.  Removed from staging after Phase 2 safety review: converted long-form Markdown volume is not appropriate for public repository upload. Source file preserved."
"knowledge_base/markdown_conversion_workflow_21.md","D:\data\markdown_sanitized\volume-009.md","volume-009.md","markdown_conversion_workflow_21.md","text_document","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","not_copied_removed_from_staging","skipped_copyright_review_removed_from_staging","Target filename collision; copied as markdown_conversion_workflow_21.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming.  Removed from staging after Phase 2 safety review: converted long-form Markdown volume is not appropriate for public repository upload. Source file preserved."
"knowledge_base/markdown_conversion_workflow_22.md","D:\data\markdown_sanitized\volume-010.md","volume-010.md","markdown_conversion_workflow_22.md","text_document","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","not_copied_removed_from_staging","skipped_copyright_review_removed_from_staging","Target filename collision; copied as markdown_conversion_workflow_22.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming.  Removed from staging after Phase 2 safety review: converted long-form Markdown volume is not appropriate for public repository upload. Source file preserved."
"knowledge_base/markdown_conversion_workflow_23.md","D:\data\markdown_sanitized\volume-011.md","volume-011.md","markdown_conversion_workflow_23.md","text_document","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","not_copied_removed_from_staging","skipped_copyright_review_removed_from_staging","Target filename collision; copied as markdown_conversion_workflow_23.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming.  Removed from staging after Phase 2 safety review: converted long-form Markdown volume is not appropriate for public repository upload. Source file preserved."
"knowledge_base/markdown_conversion_workflow_24.md","D:\data\markdown_sanitized\volume-012.md","volume-012.md","markdown_conversion_workflow_24.md","text_document","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","not_copied_removed_from_staging","skipped_copyright_review_removed_from_staging","Target filename collision; copied as markdown_conversion_workflow_24.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming.  Removed from staging after Phase 2 safety review: converted long-form Markdown volume is not appropriate for public repository upload. Source file preserved."
"knowledge_base/markdown_conversion_workflow_25.md","D:\data\markdown_sanitized\volume-013.md","volume-013.md","markdown_conversion_workflow_25.md","text_document","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","not_copied_removed_from_staging","skipped_copyright_review_removed_from_staging","Target filename collision; copied as markdown_conversion_workflow_25.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming.  Removed from staging after Phase 2 safety review: converted long-form Markdown volume is not appropriate for public repository upload. Source file preserved."
"knowledge_base/markdown_conversion_workflow_26.md","D:\data\markdown_sanitized\volume-014.md","volume-014.md","markdown_conversion_workflow_26.md","text_document","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","not_copied_removed_from_staging","skipped_copyright_review_removed_from_staging","Target filename collision; copied as markdown_conversion_workflow_26.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming.  Removed from staging after Phase 2 safety review: converted long-form Markdown volume is not appropriate for public repository upload. Source file preserved."
"knowledge_base/markdown_conversion_workflow_27.md","D:\data\markdown_sanitized\volume-015.md","volume-015.md","markdown_conversion_workflow_27.md","text_document","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","not_copied_removed_from_staging","skipped_copyright_review_removed_from_staging","Target filename collision; copied as markdown_conversion_workflow_27.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming.  Removed from staging after Phase 2 safety review: converted long-form Markdown volume is not appropriate for public repository upload. Source file preserved."
"knowledge_base/markdown_conversion_workflow_28.md","D:\data\markdown_sanitized\volume-016.md","volume-016.md","markdown_conversion_workflow_28.md","text_document","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","not_copied_removed_from_staging","skipped_copyright_review_removed_from_staging","Target filename collision; copied as markdown_conversion_workflow_28.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming.  Removed from staging after Phase 2 safety review: converted long-form Markdown volume is not appropriate for public repository upload. Source file preserved."
"knowledge_base/markdown_conversion_workflow_29.md","D:\data\markdown_sanitized\volume-017.md","volume-017.md","markdown_conversion_workflow_29.md","text_document","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","not_copied_removed_from_staging","skipped_copyright_review_removed_from_staging","Target filename collision; copied as markdown_conversion_workflow_29.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming.  Removed from staging after Phase 2 safety review: converted long-form Markdown volume is not appropriate for public repository upload. Source file preserved."
"knowledge_base/markdown_conversion_workflow_3.md","D:\data\markdown\DeepSeek-OCR-vllm\.ipynb_checkpoints\run_dpsk_ocr_pdf-checkpoint.py","run_dpsk_ocr_pdf-checkpoint.py","markdown_conversion_workflow_3.md","script","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","not_copied_removed_from_staging","skipped_cache_review_removed_from_staging","Target filename collision; copied as markdown_conversion_workflow_3.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming.  Removed from staging after Phase 2 safety review: notebook checkpoint/cache file. Source file preserved."
"knowledge_base/markdown_conversion_workflow_30.md","D:\data\markdown_sanitized\volume-018.md","volume-018.md","markdown_conversion_workflow_30.md","text_document","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","not_copied_removed_from_staging","skipped_copyright_review_removed_from_staging","Target filename collision; copied as markdown_conversion_workflow_30.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming.  Removed from staging after Phase 2 safety review: converted long-form Markdown volume is not appropriate for public repository upload. Source file preserved."
"knowledge_base/markdown_conversion_workflow_31.md","D:\new python\3d模型预测\数据整理与训练\json_to_markdown.py","json_to_markdown.py","markdown_conversion_workflow_31.md","script","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","public_copied_from_reviewed_inventory","copied","Target filename collision; copied as markdown_conversion_workflow_31.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. "
"knowledge_base/markdown_conversion_workflow_32.md","D:\new python\3d模型预测\数据整理与训练\pdf_to_markdown.py","pdf_to_markdown.py","markdown_conversion_workflow_32.md","script","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","public_copied_from_reviewed_inventory","copied","Target filename collision; copied as markdown_conversion_workflow_32.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. "
"knowledge_base/markdown_conversion_workflow_4.md","D:\data\markdown\DeepSeek-OCR-vllm\config.py","config.py","markdown_conversion_workflow_4.md","script","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","public_copied_from_reviewed_inventory","copied","Target filename collision; copied as markdown_conversion_workflow_4.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. "
"knowledge_base/markdown_conversion_workflow_5.md","D:\data\markdown\DeepSeek-OCR-vllm\deepencoder\__init__.py","__init__.py","markdown_conversion_workflow_5.md","script","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","public_copied_from_reviewed_inventory","copied","Target filename collision; copied as markdown_conversion_workflow_5.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. "
"knowledge_base/markdown_conversion_workflow_6.md","D:\data\markdown\DeepSeek-OCR-vllm\deepencoder\build_linear.py","build_linear.py","markdown_conversion_workflow_6.md","script","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","public_copied_from_reviewed_inventory","copied","Target filename collision; copied as markdown_conversion_workflow_6.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. "
"knowledge_base/markdown_conversion_workflow_7.md","D:\data\markdown\DeepSeek-OCR-vllm\deepencoder\clip_sdpa.py","clip_sdpa.py","markdown_conversion_workflow_7.md","script","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","public_copied_from_reviewed_inventory","copied","Target filename collision; copied as markdown_conversion_workflow_7.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. "
"knowledge_base/markdown_conversion_workflow_8.md","D:\data\markdown\DeepSeek-OCR-vllm\deepencoder\sam_vary_sdpa.py","sam_vary_sdpa.py","markdown_conversion_workflow_8.md","script","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","public_copied_from_reviewed_inventory","copied","Target filename collision; copied as markdown_conversion_workflow_8.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. "
"knowledge_base/markdown_conversion_workflow_9.md","D:\data\markdown\DeepSeek-OCR-vllm\process\__init__.py","__init__.py","markdown_conversion_workflow_9.md","script","OCR/Markdown conversion workflow documentation or helper.","Workflow and skill-assisted language-model methods","","public_copied_from_reviewed_inventory","copied","Target filename collision; copied as markdown_conversion_workflow_9.md instead of markdown_conversion_workflow.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. "
"knowledge_base/openalex_query_and_filters.md","D:\new python\3d模型预测\大模型训练\openalex_to_local.py","openalex_to_local.py","openalex_query_and_filters.md","script","OpenAlex query/filtering documentation or related workflow note.","Workflow and skill-assisted language-model methods","","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. "
"knowledge_base/openalex_query_and_filters_2.md","D:\new python\3d模型预测\大模型训练\sample_openalex_to_atlas_2015-2016.py","sample_openalex_to_atlas_2015-2016.py","openalex_query_and_filters_2.md","script","OpenAlex query/filtering documentation or related workflow note.","Workflow and skill-assisted language-model methods","","public_copied_from_reviewed_inventory","copied","Target filename collision; copied as openalex_query_and_filters_2.md instead of openalex_query_and_filters.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. "
"knowledge_base/openalex_query_and_filters_3.md","D:\new python\3d模型预测\大模型训练\sample_openalex_to_atlas_years.py","sample_openalex_to_atlas_years.py","openalex_query_and_filters_3.md","script","OpenAlex query/filtering documentation or related workflow note.","Workflow and skill-assisted language-model methods","","not_copied_removed_from_staging","skipped_manual_curation_removed_from_staging","Target filename collision; copied as openalex_query_and_filters_3.md instead of openalex_query_and_filters.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming.  Removed during manual/user curation of OpenAlex documentation candidates; source file preserved."
"knowledge_base/openalex_query_and_filters_4.md","D:\new python\3d模型预测\大模型训练\sample_openalex_to_local.py","sample_openalex_to_local.py","openalex_query_and_filters_4.md","script","OpenAlex query/filtering documentation or related workflow note.","Workflow and skill-assisted language-model methods","","not_copied_removed_from_staging","skipped_manual_curation_removed_from_staging","Target filename collision; copied as openalex_query_and_filters_4.md instead of openalex_query_and_filters.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming.  Removed during manual/user curation of OpenAlex documentation candidates; source file preserved."
"knowledge_base/openalex_query_and_filters_5.md","D:\new python\3d模型预测\大模型训练\stage_2_openalex_to_atlas.py","stage_2_openalex_to_atlas.py","openalex_query_and_filters_5.md","script","OpenAlex query/filtering documentation or related workflow note.","Workflow and skill-assisted language-model methods","","not_copied_removed_from_staging","skipped_manual_curation_removed_from_staging","Target filename collision; copied as openalex_query_and_filters_5.md instead of openalex_query_and_filters.md. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming.  Removed during manual/user curation of OpenAlex documentation candidates; source file preserved."
"knowledge_base/openfda_field_mapping.md","D:\new python\3d模型预测\数据整理与训练\fetch_openfda_excipients.py; D:\data\pharma\open fda\output","fetch_openfda_excipients.py; output txt files","openfda_field_mapping.md","knowledge_base_openfda","OpenFDA and DailyMed field mapping used for excipient/formulation knowledge extraction.","Knowledge base construction","Supplementary methods","generated_from_approved_sources","generated","Generated from approved OpenFDA extraction code and output folder; no API key or full label export is included."
"knowledge_base/README.md","","","README.md","text_document","Generated repository metadata or directory README.","Repository documentation and reproducibility","","public_generated","generated","Created during Phase 2 staging; not copied from source project files."
"LICENSE","","","LICENSE","file","Generated repository metadata or directory README.","Repository documentation and reproducibility","","public_generated","generated","Created during Phase 2 staging; not copied from source project files."
"manifest_integrity_check.csv","","","manifest_integrity_check.csv","tabular_data","Generated Phase 3 manifest integrity report.","Repository documentation and reproducibility","","public_generated","generated","Generated during Phase 3 repository safety audit."
"missing_expected_files.csv","","","missing_expected_files.csv","tabular_data","Generated Phase 3 missing expected file report.","Repository documentation and reproducibility","","public_generated","generated","Generated during Phase 3 repository safety audit."
"processed_data/blank_formulation_projected_area.csv","D:\Claude code\nature_comm_figures\outputs\figures\fig4_projected_area_timecourse_all9.pdf","fig4_projected_area_timecourse_all9.pdf","blank_formulation_projected_area.csv","pdf_document","Processed blank-formulation projected-area data.","MYGO-guided formulation optimization and validation","Validation figures / supplementary data","public_copied_from_reviewed_inventory","copied","Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. "
"processed_data/blank_formulation_projected_area_10.csv","D:\Claude code\nature_comm_figures\outputs\figures\fig4_projected_area_timecourse_all9_smoothed.pdf","fig4_projected_area_timecourse_all9_smoothed.pdf","blank_formulation_projected_area_10.csv","pdf_document","Processed blank-formulation projected-area data.","MYGO-guided formulation optimization and validation","Validation figures / supplementary data","public_copied_from_reviewed_inventory","copied","Target filename collision; copied as blank_formulation_projected_area_10.csv instead of blank_formulation_projected_area.csv. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. "
"processed_data/blank_formulation_projected_area_11.csv","D:\Claude code\nature_comm_figures\outputs\figures\fig4_projected_area_timecourse_all9_smoothed.png","fig4_projected_area_timecourse_all9_smoothed.png","blank_formulation_projected_area_11.csv","image","Processed blank-formulation projected-area data.","MYGO-guided formulation optimization and validation","Validation figures / supplementary data","public_copied_from_reviewed_inventory","copied","Target filename collision; copied as blank_formulation_projected_area_11.csv instead of blank_formulation_projected_area.csv. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. "
"processed_data/blank_formulation_projected_area_12.csv","D:\Claude code\nature_comm_figures\outputs\figures\fig4_projected_area_timecourse_all9_smoothed.svg","fig4_projected_area_timecourse_all9_smoothed.svg","blank_formulation_projected_area_12.csv","image","Processed blank-formulation projected-area data.","MYGO-guided formulation optimization and validation","Validation figures / supplementary data","public_copied_from_reviewed_inventory","copied","Target filename collision; copied as blank_formulation_projected_area_12.csv instead of blank_formulation_projected_area.csv. Repository filename differs from original filename for English naming, normalization, or collision safety. Inventory marked file as needing English/stable renaming. "
